,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
370,palmer,75,US,1587150999,25,42.16,-72.33,50.0,17.22
371,abapo,72,BO,1587150999,20,-18.83,-63.47,83.73,7.29
372,dunedin,100,NZ,1587150999,95,-45.87,170.5,51.01,3.0
373,slavonski brod,0,HR,1587150999,67,45.16,18.02,62.01,2.24
374,labuhan,53,ID,1587150999,83,-6.88,112.21,80.11,2.37
375,tocopilla,13,CL,1587150999,27,-22.09,-70.2,84.47,8.77
376,comodoro rivadavia,75,AR,1587150842,39,-45.87,-67.5,78.8,17.22
377,port hardy,75,CA,1587151000,76,50.7,-127.42,53.6,12.75
378,karabulak,71,RU,1587151000,66,43.3,44.9,50.0,8.95
379,karak,40,JO,1587151000,87,31.17,35.75,53.6,5.82
380,rawson,51,AR,1587150744,30,-43.3,-65.1,83.25,19.6
381,belmonte,20,BR,1587150726,70,-15.86,-38.88,84.2,5.82
382,kirakira,83,SB,1587151000,79,-10.45,161.92,79.52,4.7
